Time,Unnamed: 0,y_true,GMR,GMR_var,DPORMRM,DPORMRM_var,DPIRMRM,DPIRMRM_var,DPMRM,DPMRM_var,DPR2MRM,DPR2MRM_var,DPMRM_UB,DPMRM_LB,DPIRMRM_UB,DPIRMRM_LB,DPORMRM_UB,DPORMRM_LB,DPR2MRM_UB,DPR2MRM_LB
2022-08-10 04:12:00,1047,686.466675,850.9021463080926,0.0068160432635526,895.8780855351154,0.0028139514644734,853.5760891569108,0.0025447347198078,857.619748072769,0.0024699082247102,830.0975385462064,0.0013488731511164,1052.4365793379006,662.8029168076372,1051.3219148990856,655.8302634147359,1103.8211156748248,687.935055395406,974.0674117465223,686.1276653458904
2022-08-10 04:48:00,1048,664.133301,796.6898405178162,0.0068160432635526,841.1248294067242,0.002811364838568,803.4542627998936,0.0025441428776693,808.1096628321825,0.0024694560752504,800.0926743611363,0.0013382444965798,1002.9086613787041,613.3106642856609,1001.1770918192498,605.7314337805375,1048.9722654153777,633.2773933980707,943.4942093328509,656.6911393894219
2022-08-10 05:24:00,1049,687.200012,781.2802242092372,0.0068160432635526,843.1328110248468,0.0028113899269121,811.8968604924144,0.0025453492841311,816.7482202080344,0.0024710024583783,865.7926991744515,0.0013389758377348,1011.6082011595481,621.8882392565206,1009.6665630246075,614.1271579602213,1050.9811744364988,635.284447613195,1009.2334127566422,722.351985592261
2022-08-10 06:00:00,1050,714.533325,806.9774759117427,0.0068160432635526,856.642894972071,0.00281158038179,814.5914591223869,0.0025467764826024,819.6899870670976,0.0024721670333901,800.3101696011654,0.0013578779568005,1014.5958810310453,624.7840931031499,1012.4165994414614,616.7663188033124,1064.4982985071676,648.7874914369744,944.7598003912066,655.8605388111242
2022-08-10 06:36:00,1051,698.400024,781.6227152047969,0.0068160432635526,857.3108075394588,0.0028131848219553,819.3954022038606,0.0025451120998936,826.103126186003,0.0024706883882319,874.87837257015,0.0013456181605894,1020.9507231661214,631.2555292058845,1017.1558900971833,621.634914310538,1065.2255093959989,649.3961056829187,1018.6744326791841,731.0823124611159
2022-08-10 07:12:00,1052,759.733337,818.6060365321001,0.0068160432635526,898.9230250856554,0.0028114630241097,853.891845385241,0.0025490248259583,857.975258956752,0.0024753833593305,873.8272296788257,0.0013551632044823,1053.0078994373036,662.9426184762002,1051.804288363457,655.9794024070248,1106.7740905476328,691.0719596236777,1018.1323919751095,729.522067382542
2022-08-10 07:48:00,1053,740.533325,796.99654635182,0.0068160432635526,869.1235501297202,0.002810843177493,831.4810752678515,0.0025483425947797,836.7709014864142,0.0024746537098865,865.7112627963508,0.0013612238175797,1031.7747957234267,641.7670072494018,1029.3670314355968,633.5951191001061,1076.9517017421244,661.2953985173161,1010.3387486711204,721.083776921581
2022-08-10 08:24:00,1054,776.533325,786.4396185253423,0.0068160432635526,833.5466907100432,0.002811883499228,805.4676841856414,0.0025465067708683,811.3284957419784,0.0024726336022087,831.3794539138378,0.001348840673236,1006.252781004179,616.4042104797778,1003.2823490714144,607.6530192998684,1041.41329842407,625.6800829960163,975.3475938657509,687.4113139619246
2022-08-10 09:00:00,1055,732.93335,793.7805568685145,0.0068160432635526,851.8683795812115,0.0028116629605689,815.8495764161815,0.0025473377894402,821.323868789516,0.0024740904303884,845.6014987502765,0.0013560884220617,1016.3055684167381,626.3421691622938,1013.6965157598416,618.0026370725216,1059.7268355489346,644.0099236134881,989.9559137460394,701.2470837545137
2022-08-10 09:36:00,1056,755.133301,811.498874362642,0.0068160432635526,860.195379262848,0.0028138048330423,831.3050327963583,0.0025520163358309,835.0955328666569,0.0024786660185462,815.7677493693432,0.0013610903195227,1030.2574489962856,639.9336167370278,1029.3335757463885,633.2764898463282,1068.1329915085914,652.2577670171044,960.3881431107295,671.1473556279568
2022-08-10 10:12:00,1057,727.400024,801.4090725080376,0.0068160432635526,846.5327490464815,0.0028116942630574,812.0561594984026,0.0025436556760511,818.1607479316024,0.0024703722311516,845.5373634098162,0.0013451974848227,1012.9958778562851,623.3256180069199,1009.7600557181574,614.3522632786477,1054.3923620641267,638.6731360288363,989.3109445392419,701.7637822803906
2022-08-10 10:48:00,1058,745.400024,807.3409734175738,0.0068160432635526,857.4292116168671,0.0028142779650344,815.7728200635066,0.0025461084191425,820.9531225775396,0.0024724776578501,804.8356577052442,0.0013536672719685,1015.8712609884832,626.034984166596,1013.5720122052121,617.973627921801,1065.3843051392537,649.4741180944803,949.061150486433,660.6101649240554
2022-08-10 11:24:00,1059,754.133362,790.4037219165741,0.0068160432635526,832.1776648969108,0.0028128646154516,803.7531366076847,0.0025487771903574,808.7905015234383,0.0024751640221235,802.2549955261452,0.0013548544069009,1003.8145011479935,613.7665018988829,1001.655965839376,605.8503073759936,1040.0805336286228,624.2747961651988,946.5437156611647,657.9662753911257
2022-08-10 12:00:00,1060,784.9333499999999,811.561097371533,0.0068160432635526,868.3423123530182,0.002812087401832,832.7017100244856,0.0025465870367269,837.4523240874046,0.0024725026017647,834.4481397991782,0.0013512421663619,1032.3714457244494,642.5332024503597,1030.5194924434588,634.8839276055122,1076.216456612258,660.4681680937783,978.544384112427,690.3518954859293
2022-08-10 12:36:00,1061,796.666687,814.1814482751001,0.0068160432635526,898.0887900718169,0.0028116974698736,852.4726288233018,0.002548628482395,857.343414801388,0.0024746842368146,868.733482330294,0.0013593744536254,1052.348511802948,662.3383177998279,1050.369684667684,654.5755729789196,1105.9485216242888,690.2290585193451,1013.2626890816954,724.2042755788925
