,MSE,NumberClu,w1_1,w1_2,w2_1,w2_2,w3_1,w3_2,w4_1,w4_2
12,1.9562922209555507,4,2.4410054827063963,-0.22455826951674537,-1.8078563978547613,3.7924041945879967,-0.8740236469929341,4.251456630826657,-1.1933612769513988,1.6414770330244917
13,3.5396456037673314,4,2.4063511014983443,-0.27442954286473664,-1.6786369404010624,3.7836451699996396,-0.9112279682645712,4.180685884149882,-1.1817386749805023,1.5847477487936612
14,2.3424405521724974,4,2.418111913792676,-0.2909268438569042,-1.7796221005232244,3.8019995182218485,-0.9058639843504742,4.249024370668137,-1.1990618946068243,1.6129459460830433
15,2.355228169261595,4,2.446615165824241,-0.199790152943576,-1.77491376938515,3.8076977273529145,-0.9418397100343935,4.142911366742411,-1.1711896107978252,1.52830113636074
16,2.216205387829106,4,2.389334101176697,-0.31158258579125436,-1.7612639822424476,3.812551295470668,-0.8905914398958001,4.173316786853792,-1.1907329924937178,1.5639845863604172
17,5.423438244134336,5,2.405439966321214,-0.2802962190379179,-1.7657482127320103,3.790533883027944,-0.8821487749673773,4.232455685553537,-1.2214209770060394,1.6493294512339849
18,2.1983747947934904,4,2.4378183223221837,-0.25104916131338195,-1.7966720311511837,3.790769966556924,-0.885365431741726,4.175474268638415,-1.1994847475935524,1.6203159165197116
19,1.8815874364252392,4,2.4099168334038303,-0.3145685883526534,-1.6874061521510462,3.7804458876854152,-0.9329742271324272,4.1812512045841785,-1.216900174670933,1.6836193778436703
20,3.051563157979603,5,2.36777832320228,-0.38346052647633566,-1.8279418554022089,3.793301466139098,-0.9558219910765581,4.1669007824754365,-1.1885046043522551,1.5635996323876586
21,5.40349949553497,5,2.435788672365004,-0.23398472782361363,-1.901369685969897,3.816169157204021,-0.9177006220045177,4.167634670916407,-1.1857741402563968,1.601971998864104
22,4.098770745566314,5,2.3921242799841194,-0.3479971008149205,-1.707960438957924,3.7887719517888714,-0.9001073386213921,4.235769540749388,-1.2140190888479754,1.668169408192213
23,2.9697481305749456,5,2.368404276663994,-0.36887938383387364,-1.7955336470041896,3.7895583357840636,-0.8869060556888166,4.190805051555581,-1.1983578767561303,1.5766383627289229
24,3.935566628597073,4,2.3853469275810855,-0.371629992240513,-1.80853104215234,3.7981181018080474,-0.9010735369404409,4.205136891673989,-1.1732561105995998,1.5487019096728658
25,4.67316101406081,4,2.373517596226,-0.3691005471161939,-1.7110018832402814,3.8075932116016515,-0.9567186756028334,4.063758251482734,-1.190088305137808,1.5595857672372622
26,4.196711432228848,5,2.4159427532014957,-0.29180608807080693,-1.9252252963256513,3.8199401979681387,-0.921396387042569,4.161564836729979,-1.1771027674480552,1.51868021320303
27,4.88270933313459,4,2.4125382796391825,-0.29748427502556124,-1.867968550996298,3.8078118985415883,-0.8780372824280782,4.175457544567739,-1.193992876766068,1.57233758232241
28,3.250318155983201,4,2.3956563176762105,-0.304544679362629,-1.7329516086662518,3.785553108692973,-0.9067393372302109,4.213791552073348,-1.202374711932546,1.6715896592707318
29,7.566689057011238,4,2.3871785670941046,-0.3602181934052032,-1.7354086617326068,3.7940874252617456,-0.9192915538718637,4.194408759701762,-1.1805036292992985,1.5746051248085022
30,2.727978328402052,4,2.392984227389488,-0.318063353720287,-1.808114326416015,3.7937796447705985,-0.8827600211683815,4.234883798876693,-1.1806770085110043,1.5739806192623427
31,1.7695004648986847,4,2.373758779601734,-0.3683649076714297,-1.7243464793711183,3.796270809871267,-0.9084993952496135,4.2184720774410245,-1.1911183379519257,1.553051297871354
32,2.549446838026844,4,2.4087099161831977,-0.2982973824377376,-1.7343963842133803,3.7841837524936484,-0.8846884058470178,4.243950811359036,-1.2224833595526545,1.6311794643074493
