,MSE,NumberClu,w1_1,w1_2,w2_1,w2_2,w3_1,w3_2,w4_1,w4_2
18,3.0542464947362555,5,2.6101911846025563,-0.229448369036232,-1.4673788888586419,3.61189986787089,-1.047166200838271,4.519143338787241,-0.8882487889816142,1.9014150273435424
19,3.314653435626655,5,2.4371984856257995,-0.6234521227907776,-0.46077463458357865,3.483948138580047,-1.3121629243975936,3.942791430529821,-0.9398529697591779,2.174522969934855
20,5.0769697225889665,6,2.5109980603789253,-0.459130830621088,-1.8269541764539208,3.793876853351101,-1.1138414323602444,4.440026059131558,-1.199547205826855,1.5802490829431617
21,9.069484353650555,5,2.4188516137174503,-0.2675544771096409,-1.9023677925929765,3.8149395719272823,-0.9128974272275514,4.18684293569105,-1.1736947657649714,1.5617159647252894
22,6.999566271785147,6,2.067345864565781,-1.580399866736712,-0.044919508012567055,3.440179489371888,-1.3325793452631576,3.9220812988709044,-0.26399827273668675,0.26221600242714904
23,8.502649154649697,6,2.3676102443422646,-0.3725565813344558,-1.5452845349350917,3.5799238329216148,-1.2984847330274496,4.0136658969477335,1.0745686537035406,-1.9680697643154987
24,9.53320505635608,5,2.3821100579859276,-0.3760385659538368,-1.0673917903286343,3.5367217134931472,-0.9396775331697347,4.661763395250907,1.1484910046878753,-2.516968531025012
25,8.601252526370548,5,2.390607955422882,-0.3204494590258029,-0.1909300182993656,3.4380198426325954,-1.2817433853214706,4.146034754343819,1.1363074495996335,-2.1196481825364732
26,5.711165450218162,6,2.4152591674131485,-0.2891723605580426,-1.9051496440657063,3.815313150878007,-1.2345555763036657,4.164760837258827,-1.173221038268673,1.5075302427695971
27,3.7753167048830245,5,2.271292147825131,-0.9973245045990247,-2.48356719898813,3.7149346532972527,-1.459461508621462,3.6790440559716213,-0.9878850704718746,1.9749237161700535
28,5.451087983401464,5,2.6554493955036547,-0.06631537379739803,-0.533340209452228,3.4768499370470334,-1.0562264540386823,4.730654344057897,-0.922848488118082,1.7390130626235811
29,7.02705329092777,6,2.3876462218857926,-0.36900755678890046,-1.632471861655306,3.585731250680168,-1.5588542052709202,3.6365300305636175,1.1950803038824707,-1.613640999530956
30,4.534848002028223,5,2.591690378812283,-0.2163581854631082,-1.5967207421867367,3.5911781053115353,-1.26987642275428,4.092473681745114,-0.8400913182007864,1.4399231321199786
31,3.211221135795015,5,2.6040679989451063,-0.2358326217851287,-1.3984543185929743,3.5687841591798577,-0.9185476510457656,4.882189454777694,-1.0666314724870756,2.140363820266169
32,4.427010739725096,5,2.5957891611481556,-0.23644669528763998,-1.7980146134666026,3.621813721260444,-1.0300567852363505,4.489995632905714,-0.7595333829918038,1.5832432134503704
33,7.874741556192796,5,2.4179008313700265,-0.31862137745082997,-0.6231861546028508,3.5335259380271715,-1.0878261614437412,4.5118899208688905,1.2252781344492765,-2.494998085058866
34,4.507665055381137,5,2.400357949172891,-0.3050814752978705,-1.7667336326381642,3.8041866256661003,-0.8477081406894811,4.298904999346349,-1.2122810091209189,1.62152959449656
35,3.4529648561808246,5,2.599481611767502,-0.19341363702201195,-1.8428215946111628,3.7907862134802484,-1.1978522408277317,4.165126525667805,-1.0675469466860268,1.9948094291924108
36,4.180850444661809,5,2.8218219157878375,0.32581782565433176,-1.7569452103721455,3.6304885741736466,-1.2192600376528355,4.217183719924845,-1.1654413523503706,2.3213670618518782
37,8.640956496385998,6,2.4100155802520606,-0.2888473903404097,-2.1300116855045577,3.620449176031991,-1.12797163958237,4.333854869819449,0.9659056448473363,-1.922947914238767
38,8.66650945911391,5,2.4106344772241326,-0.34299949302266736,-1.1868886307436388,3.5078958210503837,-1.0973382411518537,4.486740892508181,1.0439813656187205,-1.6356001072466848
