,MSE,NumberClu,w1_1,w1_2,w2_1,w2_2,w3_1,w3_2,w4_1,w4_2
13,5.097209060881658,5,2.4102568082133797,-0.2783519019181579,-1.6803160758599698,3.7840091925576953,-0.9119877863538656,4.180314887178618,-1.182897629318669,1.5861588242285232
14,8.27385489966253,5,2.398946134525365,-0.33515583663041126,-1.7793827144566297,3.801981421163429,-0.906204788528882,4.248137098385222,0.9139519950688555,-2.1625755130771522
15,3.2816295186522315,5,2.4539885857666404,-0.18250490414700446,-1.7740256903337788,3.807534619143187,-0.9415737643483841,4.143417208407651,-1.1768085275556732,1.536928738552527
16,2.3482208835907197,5,2.389350381979845,-0.3119990433814345,-1.7611045612718625,3.8126414412472402,-0.890677195449619,4.172057132900614,-1.1916961866475961,1.5661616217253649
17,4.897451800261518,6,2.403057605148993,-0.29069985936292303,-1.7647142771161919,3.7906947143749234,-0.8808680143759822,4.233813111384419,-1.2225321429678497,1.651706610661734
18,2.352298084477221,5,2.437758202128327,-0.25080251313939633,-1.7957883566435462,3.791005837106079,-0.8852591371761104,4.175613775054316,-1.199332735627646,1.6186171799359945
19,2.7008818431230424,5,2.4099045350540425,-0.314628811024855,-1.6871041596892304,3.780346922745607,-0.933317214442431,4.180592410759642,-1.2164125632784204,1.6832412771061949
20,4.497553130797898,6,2.36895589202304,-0.38006172384382386,-1.825986661639943,3.7937613916542814,-0.9554537212237465,4.167607710291379,-1.1989201750102065,1.5793435403276777
21,7.877615818477076,5,3.1288767713328394,1.0303239230502128,-1.8938161902796324,3.814228730667709,-0.9122344200110246,4.187182247270776,-1.1970426980012263,1.6191378341622444
22,5.591321646854475,6,2.390603921570645,-0.3522155599465315,-1.716679749976454,3.790121386882514,-0.9013274993669097,4.233236769605039,-1.215922456907704,1.6727963626529674
23,3.6571471445005135,6,2.3686186418861714,-0.36866107543416604,-1.7996640472339482,3.7898731825319385,-0.8868877656532498,4.191234780163018,-1.1993762971934718,1.5788368231919359
24,4.155138908077387,5,2.3886983900015264,-0.36526795572114756,-1.814772199787268,3.7990223337563545,-0.900168336569036,4.205977653804812,-1.1786368774825031,1.563004055216886
25,4.842780475660529,5,2.3781417292209284,-0.3576566195650722,-1.7111684842378745,3.808063148473758,-0.9570317766194426,4.063706020717571,-1.1962568517626901,1.5693307658428566
26,5.829428029694473,6,2.415180473686019,-0.2896197885403285,-1.9061243472344307,3.8155090791588777,-0.921088870683311,4.16177008816933,-1.1732927473975092,1.5078825387984498
27,2.943011575561842,5,2.4120367104857707,-0.29871940245250034,-1.8666854719978725,3.807145786991994,-0.8779534193782849,4.1755215416469955,-1.190196407502917,1.5742386537390713
28,4.518284726666717,5,2.396170154449724,-0.30329555750682596,-1.7326445015120857,3.785336035165948,-0.9065866451050419,4.215013887035829,-1.2030861277730798,1.6721169912475349
29,6.251230838050122,5,2.387576530287336,-0.36880547347872583,-1.7400885958826156,3.793820344233766,-0.919290377170748,4.1935307080806865,1.1293563448006207,-1.5615606085887908
